"sponsor","cosponsors","V1"
66,116,4
66,136,2
66,153,2
66,172,3
66,174,3
66,179,1
66,188,1
66,212,1
66,213,2
66,326,3
66,452,2
66,457,4
66,501,4
66,583,1
66,604,5
66,735,1
66,754,1
66,791,3
66,859,2
66,924,2
66,949,2
66,952,2
66,968,1
66,1010,2
66,1036,3
66,1226,2
66,1247,6
66,1332,1
66,1351,10
66,1381,1
66,1383,2
66,1384,2
66,1409,4
66,1424,5
66,1464,2
66,1507,1
66,1531,5
66,1534,1
66,1541,4
66,1542,1
66,1546,1
66,1548,1
66,1558,3
66,1567,4
66,1595,3
66,1608,3
66,1609,1
66,1633,1
66,1647,1
66,1687,1
66,1692,1
66,1694,2
66,1695,1
66,1701,2
66,1820,1
66,1823,3
66,1825,1
66,1826,5
66,1828,5
66,1829,14
66,1837,3
66,1844,2
66,1850,2
66,1863,1
66,1866,3
66,1881,1
66,1898,2
66,1899,2
66,1900,3
66,1901,3
66,1902,2
66,1937,3
66,1965,3
66,1969,4
66,1983,2
66,1984,2
66,2075,1
66,2076,4
66,2079,2
66,2084,1
66,2085,1
66,2173,2
66,2174,4
66,2176,3
66,2182,2
66,2185,4
66,2194,1
66,2198,8
116,66,6
116,136,5
116,153,4
116,172,7
116,174,10
116,179,4
116,188,3
116,209,1
116,212,1
116,213,4
116,250,5
116,326,4
116,452,3
116,457,3
116,501,4
116,604,6
116,735,10
116,754,3
116,791,7
116,802,11
116,859,6
116,924,2
116,949,4
116,952,1
116,968,3
116,1010,6
116,1036,5
116,1049,1
116,1226,2
116,1247,9
116,1332,23
116,1351,2
116,1381,2
116,1383,2
116,1384,3
116,1409,8
116,1424,1
116,1464,4
116,1507,2
116,1531,6
116,1534,3
116,1541,11
116,1542,1
116,1546,11
116,1548,1
116,1558,4
116,1567,4
116,1595,4
116,1608,2
116,1609,8
116,1633,2
116,1647,7
116,1687,2
116,1692,2
116,1694,6
116,1701,4
116,1820,4
116,1823,10
116,1826,7
116,1828,5
116,1829,10
116,1837,6
116,1844,8
116,1850,3
116,1863,2
116,1866,13
116,1881,3
116,1896,2
116,1897,2
116,1898,11
116,1899,2
116,1900,10
116,1901,11
116,1902,3
116,1937,4
116,1965,3
116,1969,4
116,1983,5
116,1984,8
116,2056,2
116,2075,3
116,2076,12
116,2079,2
116,2080,1
116,2082,1
116,2084,2
116,2173,9
116,2174,4
116,2175,2
116,2176,5
116,2179,2
116,2182,10
116,2185,2
116,2189,1
116,2194,6
116,2198,1
136,66,2
136,116,9
136,153,4
136,172,4
136,174,11
136,179,2
136,188,4
136,209,2
136,212,2
136,213,4
136,250,2
136,326,17
136,452,3
136,457,4
136,501,15
136,583,3
136,604,7
136,735,3
136,754,1
136,791,8
136,802,4
136,859,6
136,924,18
136,949,11
136,952,1
136,968,2
136,1010,8
136,1036,9
136,1049,1
136,1226,8
136,1247,4
136,1332,2
136,1351,2
136,1381,2
136,1383,6
136,1384,6
136,1395,2
136,1409,10
136,1424,9
136,1464,10
136,1507,4
136,1531,12
136,1534,3
136,1541,11
136,1542,3
136,1546,9
136,1548,5
136,1558,10
136,1567,7
136,1595,2
136,1608,5
136,1609,5
136,1633,2
136,1647,9
136,1687,6
136,1692,3
136,1694,3
136,1695,2
136,1701,8
136,1820,5
136,1823,14
136,1825,2
136,1826,10
136,1828,15
136,1829,5
136,1837,9
136,1844,6
136,1850,1
136,1863,4
136,1866,13
136,1881,4
136,1896,2
136,1897,3
136,1898,9
136,1899,3
136,1900,11
136,1901,6
136,1902,5
136,1937,9
136,1965,7
136,1969,10
136,1983,3
136,1984,8
136,2056,2
136,2075,5
136,2076,10
136,2079,2
136,2080,1
136,2082,2
136,2084,4
136,2085,4
136,2086,1
136,2173,9
136,2174,5
136,2175,2
136,2176,2
136,2179,1
136,2182,10
136,2185,8
136,2189,2
136,2194,3
136,2198,4
153,116,3
153,136,2
153,174,1
153,188,3
153,209,1
153,212,4
153,213,1
153,250,1
153,326,1
153,501,1
153,583,2
153,735,1
153,802,4
153,859,1
153,924,1
153,968,3
153,1010,3
153,1226,1
153,1332,1
153,1351,1
153,1383,1
153,1409,2
153,1464,1
153,1507,1
153,1534,3
153,1541,2
153,1542,3
153,1546,2
153,1548,2
153,1608,3
153,1609,1
153,1647,1
153,1687,3
153,1692,2
153,1694,2
153,1695,1
153,1828,3
153,1837,1
153,1863,1
153,1866,2
153,1896,1
153,1897,1
153,1898,2
153,1899,2
153,1902,4
153,1965,2
