"sponsor","cosponsors","V1"
"00066","00066",31
"00066","00116",4
"00066","00136",2
"00066","00153",2
"00066","00172",3
"00066","00174",3
"00066","00179",1
"00066","00188",1
"00066","00212",1
"00066","00213",2
"00066","00326",3
"00066","00452",2
"00066","00457",4
"00066","00501",4
"00066","00583",1
"00066","00604",5
"00066","00735",1
"00066","00754",1
"00066","00791",3
"00066","00859",2
"00066","00924",2
"00066","00949",2
"00066","00952",2
"00066","00968",1
"00066","01010",2
"00066","01036",3
"00066","01226",2
"00066","01247",6
"00066","01332",1
"00066","01351",10
"00066","01381",1
"00066","01383",2
"00066","01384",2
"00066","01409",4
"00066","01424",5
"00066","01464",2
"00066","01507",1
"00066","01531",5
"00066","01534",1
"00066","01541",4
"00066","01542",1
"00066","01546",1
"00066","01548",1
"00066","01558",3
"00066","01567",4
"00066","01595",3
"00066","01608",3
"00066","01609",1
"00066","01633",1
"00066","01647",1
"00066","01687",1
"00066","01692",1
"00066","01694",2
"00066","01695",1
"00066","01701",2
"00066","01820",1
"00066","01823",3
"00066","01825",1
"00066","01826",5
"00066","01828",5
"00066","01829",14
"00066","01837",3
"00066","01844",2
"00066","01850",2
"00066","01863",1
"00066","01866",3
"00066","01881",1
"00066","01898",2
"00066","01899",2
"00066","01900",3
"00066","01901",3
"00066","01902",2
"00066","01937",3
"00066","01965",3
"00066","01969",4
"00066","01983",2
"00066","01984",2
"00066","02075",1
"00066","02076",4
"00066","02079",2
"00066","02084",1
"00066","02085",1
"00066","02173",2
"00066","02174",4
"00066","02176",3
"00066","02182",2
"00066","02185",4
"00066","02194",1
"00066","02198",8
"00116","00066",6
"00116","00116",66
"00116","00136",5
"00116","00153",4
"00116","00172",7
"00116","00174",10
"00116","00179",4
"00116","00188",3
"00116","00209",1
"00116","00212",1
"00116","00213",4
"00116","00250",5
"00116","00326",4
"00116","00452",3
"00116","00457",3
"00116","00501",4
"00116","00604",6
"00116","00735",10
"00116","00754",3
"00116","00791",7
"00116","00802",11
"00116","00859",6
"00116","00924",2
"00116","00949",4
"00116","00952",1
"00116","00968",3
"00116","01010",6
"00116","01036",5
"00116","01049",1
"00116","01226",2
"00116","01247",9
"00116","01332",23
"00116","01351",2
"00116","01381",2
"00116","01383",2
"00116","01384",3
"00116","01409",8
"00116","01424",1
"00116","01464",4
"00116","01507",2
"00116","01531",6
"00116","01534",3
"00116","01541",11
"00116","01542",1
"00116","01546",11
"00116","01548",1
"00116","01558",4
"00116","01567",4
"00116","01595",4
"00116","01608",2
"00116","01609",8
"00116","01633",2
"00116","01647",7
"00116","01687",2
"00116","01692",2
"00116","01694",6
"00116","01701",4
"00116","01820",4
"00116","01823",10
"00116","01826",7
"00116","01828",5
"00116","01829",10
"00116","01837",6
"00116","01844",8
"00116","01850",3
"00116","01863",2
"00116","01866",13
"00116","01881",3
"00116","01896",2
"00116","01897",2
"00116","01898",11
"00116","01899",2
"00116","01900",10
"00116","01901",11
"00116","01902",3
"00116","01937",4
"00116","01965",3
"00116","01969",4
"00116","01983",5
"00116","01984",8
"00116","02056",2
